session_date,client_id,traffic_source,device_type,session_duration_seconds,scrolled_down,clicked_download_syllabus
01/05/2024,1787846414,Paid Ads,Mobile,8,0,0
01/06/2024,5537253173,Direct,Mobile,14,0,0
01/05/2024,5298312065,Organic Search,Desktop,15,0,0
01/03/2024,5325316860,Organic Search,Mobile,18,0,0
01/02/2024,5495394816,Paid Ads,Mobile,4,0,0
01/03/2024,2934879561,Paid Ads,Desktop,19,0,0
01/02/2024,6950318585,Paid Ads,Mobile,83,1,0
01/03/2024,1991681409,Direct,Desktop,1,0,0
01/05/2024,6974559825,Organic Search,Mobile,88,1,0
01/05/2024,6188069942,Organic Search,Mobile,82,1,0
01/01/2024,5429456861,Paid Ads,Mobile,9,0,0
01/06/2024,6992124618,Direct,Mobile,11,0,0
01/03/2024,8418576735,Direct,Desktop,20,0,0
01/04/2024,7612927342,Paid Ads,Mobile,15,0,1
01/01/2024,9440707288,Paid Ads,Mobile,86,1,0
01/03/2024,1067157848,Paid Ads,Mobile,3,0,0
01/03/2024,3602578298,Paid Ads,Mobile,7,0,0
01/01/2024,4929721884,Organic Search,Desktop,16,0,0
01/05/2024,2644658403,Organic Search,Mobile,71,1,0
01/03/2024,8941024386,Paid Ads,Desktop,14,0,0
01/05/2024,6308514807,Organic Search,Desktop,10,0,0
01/01/2024,4052273871,Paid Ads,Mobile,92,1,0
01/05/2024,1866377395,Paid Ads,Desktop,11,0,0
01/02/2024,3318599823,Paid Ads,Mobile,90,1,0
01/04/2024,7976547497,Organic Search,Mobile,20,0,0
01/07/2024,1453094389,Direct,Mobile,10,0,0
01/03/2024,9088627134,Paid Ads,Desktop,14,0,0
01/06/2024,2168799104,Organic Search,Desktop,32,0,0
01/04/2024,5297202296,Organic Search,Mobile,3,0,0
01/07/2024,3082328893,Paid Ads,Desktop,1,0,1
01/05/2024,6234552479,Organic Search,Mobile,81,1,0
01/03/2024,1278710077,Paid Ads,Mobile,21,0,0
01/05/2024,8285571367,Paid Ads,Mobile,96,1,1
01/02/2024,1636028517,Direct,Desktop,9,0,0
01/01/2024,2145815739,Direct,Desktop,12,0,0
01/03/2024,7060357852,Direct,Mobile,99,1,0
01/07/2024,2482069727,Paid Ads,Mobile,8,0,0
01/07/2024,7575313973,Paid Ads,Mobile,12,0,1
01/02/2024,1647326921,Organic Search,Mobile,27,0,0
01/02/2024,4686622978,Organic Search,Mobile,73,1,1
01/03/2024,8892904807,Paid Ads,Desktop,82,1,1
01/05/2024,1897955762,Organic Search,Mobile,21,0,0
01/06/2024,9513348207,Paid Ads,Mobile,21,0,0
01/07/2024,9573844352,Direct,Mobile,82,1,0
01/07/2024,2197743337,Paid Ads,Desktop,3,0,0
01/02/2024,9332809688,Organic Search,Desktop,5,0,0
01/04/2024,7380662466,Paid Ads,Mobile,1,0,0
01/02/2024,1755593187,Organic Search,Desktop,8,0,0
01/06/2024,3121257357,Organic Search,Mobile,80,1,1
01/05/2024,2323111039,Paid Ads,Mobile,98,1,0
01/05/2024,7828443294,Direct,Mobile,22,0,0
01/04/2024,3090541619,Direct,Mobile,19,0,0
01/07/2024,6798542613,Direct,Mobile,13,0,0
01/02/2024,1988638203,Direct,Desktop,14,0,0
01/05/2024,1187276800,Organic Search,Desktop,9,0,0
01/06/2024,2200702509,Direct,Desktop,16,0,0
01/03/2024,5093412388,Paid Ads,Mobile,21,0,0
01/01/2024,3457977438,Paid Ads,Mobile,88,1,0
01/01/2024,1819956639,Paid Ads,Desktop,2,0,0
01/01/2024,9289359171,Paid Ads,Mobile,17,0,0
01/07/2024,6386591871,Paid Ads,Mobile,22,0,0
01/02/2024,4645008999,Paid Ads,Mobile,87,1,0
01/04/2024,2273501353,Direct,Desktop,11,0,0
01/05/2024,1350444348,Paid Ads,Mobile,20,0,0
01/03/2024,3696785955,Paid Ads,Mobile,69,1,0
01/06/2024,1304688904,Organic Search,Desktop,37,0,0
01/03/2024,7178199328,Paid Ads,Mobile,14,0,0
01/06/2024,1665898681,Direct,Mobile,96,1,1
01/07/2024,8990377018,Paid Ads,Mobile,18,0,0
01/02/2024,6597482767,Direct,Mobile,9,0,0
01/01/2024,4555670279,Direct,Desktop,16,0,0
